id,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
01,194023,610029,3.1,130770,67.4
,150177,472688,3.1,103316,68.8
03,214136,739065,3.5,156067,72.9
,183897,638544,3.5,144318,78.5
05,118602,428304,3.6,87802,74
06,156696,602703,3.8,133722,85.3
,181149,626229,3.5,135743,74.9
08,162842,534929,3.3,113578,69.7
09,138723,495216,3.6,101135,72.9
10,134887,503176,3.7,96476,71.5
11,150845,525156,3.5,99255,65.8
