id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
6010101,3555,142,339,873,1000,649,335,217,1710,14404,3157,747,3107,3444,319,469,39.0,99.0,78.0,389,2538,3047,6010101
6010102,4916,289,819,1605,1373,538,191,101,797,16867,3772,407,3581,4678,6,6,5.0,6.0,10.0,396,3569,4662,6010102
6010103,3342,72,500,1277,947,443,77,26,202,11570,2524,286,2491,3304,3,2,2.0,2.0,4.0,281,2487,3297,6010103
6010204,3829,428,664,1438,830,277,118,74,567,12050,2585,580,2564,3802,143,211,7.0,15.0,14.0,430,2337,3645,6010204
6010205,5428,239,1080,1902,1357,510,185,155,1229,18422,4086,729,4041,5364,204,304,34.0,67.0,68.0,491,3670,5092,6010205
6010206,4453,209,851,1652,1033,506,119,83,642,14885,3130,472,3110,4425,52,78,11.0,29.0,22.0,409,3003,4351,6010206
6010207,4497,160,712,1677,1336,413,120,79,598,15342,3259,502,3229,4449,35,59,16.0,34.0,32.0,451,3135,4382,6010207
6010208,3813,145,912,1234,883,423,134,82,650,12772,2795,366,2757,3755,17,29,13.0,27.0,26.0,336,2701,3712,6010208
6010209,5214,138,1040,1890,1614,422,78,32,247,17169,3604,475,3501,5110,5,3,0.0,0.0,0.0,470,3498,5105,6010209
6010210,2713,76,371,1123,770,269,81,23,167,9265,1880,263,1874,2705,1,1,1.0,2.0,2.0,261,1871,2702,6010210
6020301,2693,29,513,817,780,298,139,117,975,9925,2098,710,2093,2687,442,555,44.0,92.0,88.0,224,1445,2157,6020301
6020302,2925,200,374,951,747,356,143,154,1288,10715,2389,694,2326,2759,290,444,67.0,145.0,134.0,337,1737,2335,6020302
6020303,4305,174,941,1614,1303,234,22,17,138,13550,2741,526,2713,4267,36,40,8.0,11.0,16.0,482,2661,4215,6020303
6020304,4147,319,682,1589,1057,338,102,60,478,13458,2757,588,2718,4098,125,176,25.0,48.0,50.0,438,2494,3923,6020304
6020305,5984,601,913,1767,1861,577,158,107,834,19839,3993,883,3859,5508,379,525,16.0,33.0,32.0,488,3302,5097,6020305
6020306,3281,78,514,775,731,549,330,304,2438,13518,2938,1732,2905,3240,1355,1599,89.0,171.0,178.0,288,1135,1707,6020306
6020407,2465,105,678,483,903,286,6,4,35,8023,1585,108,1583,2463,9,11,3.0,6.0,6.0,96,1566,2448,6020407
6020408,3897,30,702,1379,1030,404,189,163,1263,14108,2859,972,2827,3861,567,698,61.0,119.0,122.0,344,2010,3172,6020408
6020409,4529,462,628,1352,1144,567,165,211,1766,15941,3605,926,3501,4326,376,558,68.0,173.0,136.0,482,2769,3814,6020409
6020410,3511,39,363,866,1033,597,292,321,2622,14854,3314,1205,3222,3406,680,960,153.0,313.0,306.0,372,1949,2420,6020410
6020411,3965,50,251,992,1127,811,397,337,2665,17138,3681,1794,3650,3937,1358,1662,151.0,283.0,302.0,285,1704,2277,6020411
6030501,2679,28,171,749,670,498,301,262,2070,11663,2549,1309,2520,2649,996,1231,76.0,148.0,152.0,237,1140,1501,6030501
6030502,3261,92,829,1130,842,286,42,40,341,10531,2084,564,2078,3254,186,226,25.0,41.0,50.0,353,1812,3018,6030502
6030503,6410,107,773,1854,2071,983,390,232,1870,24624,5189,987,5048,6256,207,317,68.0,147.0,136.0,712,4584,5913,6030503
6030504,5350,77,535,1215,1370,891,603,659,5292,23637,5324,2424,5284,5309,1656,2359,235.0,503.0,470.0,533,2422,3183,6030504
6030605,3796,271,597,953,1082,429,233,231,1859,14054,3160,652,3079,3651,208,343,40.0,104.0,80.0,404,2632,3363,6030605
6030606,2679,226,410,954,659,255,103,72,553,8990,1976,400,1944,2642,150,207,19.0,52.0,38.0,231,1685,2454,6030606
6030607,1461,254,78,230,456,264,139,40,315,5393,1085,342,986,1145,211,239,25.0,55.0,50.0,106,692,884,6030607
6030608,5590,223,453,861,1386,1280,783,604,4805,25159,5828,2974,5809,5574,2406,3297,190.0,364.0,380.0,378,2149,2788,6030608
6030609,6406,389,772,1928,1730,894,364,329,2667,23958,5386,1251,5288,6283,376,580,104.0,262.0,208.0,771,4446,5699,6030609
6030610,4106,68,386,1172,999,668,327,486,4090,17744,4180,1243,4063,3996,600,1015,164.0,400.0,328.0,479,2648,3068,6030610
6040701,4947,191,513,981,1120,895,563,684,5831,22324,5479,2397,5298,4627,1830,2857,194.0,433.0,388.0,373,2008,2409,6040701
6040702,2210,14,154,189,744,547,352,210,1601,10313,2357,838,2348,2202,589,782,33.0,66.0,66.0,216,1500,1547,6040702
6040703,5504,607,772,886,1169,787,512,771,6352,22844,5558,2016,5279,4734,1308,2148,190.0,519.0,380.0,518,2612,3046,6040703
6040804,3796,55,279,665,897,738,538,624,5450,18564,4435,1785,4374,3747,1233,2003,160.0,398.0,320.0,392,1973,2194,6040804
6040805,2684,101,344,586,552,484,254,363,3062,11761,2738,1038,2655,2581,636,988,85.0,216.0,170.0,317,1451,1775,6040805
6040806,3803,35,558,1262,534,528,557,329,2597,15652,3203,1917,3198,3792,1418,1714,34.0,68.0,68.0,465,1416,2306,6040806
6040807,3005,88,322,891,691,375,265,373,3077,12711,2932,948,2619,2640,554,932,87.0,204.0,174.0,307,1483,1912,6040807
