year,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
2021,2014192,6759076,3.4,1463103,72.6
2022,2028467,6798004,3.4,1472855,72.6
"4 Wohnungsbestand, Wohnfläche und Räume je Wohnung in Berlin am 31. Dezember 2022   nach Bezirken",,,,,
Bezirk,Wohnungen¹,Räume,,Wohnfläche,
