district_name,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
Spandau,28734,93217,126361,17714,22231,1457,2684,2914,9528,67762,104512,35,539,1221
Steglitz-Zehlendorf,40936,136715,160928,22710,34509,2551,5859,5102,15583,95713,130574,92,634,2542
Tempelh.-Schöneb.,29015,135873,185005,13267,16659,1510,2761,3020,14181,115548,166704,57,904,2014
Neukölln,28331,115727,166063,15576,18265,1423,2595,2846,11285,94385,146634,47,482,1007
Treptow-Köpenick,39102,110165,151497,24632,28167,1895,3375,3790,12545,78293,122032,30,329,1043
Marzahn-Hellersd.,32699,102181,141145,23352,27165,1787,3093,3574,7546,71574,113246,14,349,973
Lichtenberg,18132,105007,161670,7638,9536,609,1109,1218,9834,93242,149051,51,1121,3763
Reinickendorf,35348,101905,131661,22310,28783,2534,4782,5068,10479,67885,102869,25,456,1414
Berlin,334715,1451832,2000114,172101,217391,16304,31464,32608,145661,1193960,1770058,649,9017,25347
