id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
06010101,Fichtenberg,3536,142,334,865,1000,647,334,214,1680,14324,3130,743,3080,3425,318,467,39,99,78,386,2514,3029,6010101
06010102,Schloßstraße,4914,289,819,1603,1374,538,191,100,790,16858,3769,407,3579,4676,6,6,5,6,10,396,3566,4660,6010102
06010103,Markelstraße,3337,72,499,1276,944,443,77,26,202,11553,2519,286,2487,3299,3,2,2,2,4,281,2483,3292,6010103
06010204,Munsterdamm,3818,428,663,1430,828,277,118,74,567,12016,2577,580,2555,3791,142,210,8,16,16,430,2329,3633,6010204
06010205,Südende,5407,232,1098,1892,1337,508,186,154,1217,18325,4079,727,4031,5355,203,300,34,67,68,490,3664,5084,6010205
06010206,Stadtpark,4395,194,818,1645,1031,507,119,81,627,14765,3098,470,3078,4367,52,78,11,29,22,407,2970,4293,6010206
06010207,Mittelstraße,4448,147,698,1671,1324,410,119,79,598,15214,3226,496,3195,4400,31,54,16,34,32,449,3107,4337,6010207
06010208,Bergstraße,3767,145,896,1209,878,423,134,82,650,12645,2758,361,2719,3709,17,29,13,27,26,331,2664,3666,6010208
06010209,Feuerbachstraße,5205,138,1038,1880,1617,422,78,32,247,17147,3593,475,3490,5101,5,3,–,–,–,470,3487,5096,6010209
06010210,Bismarckstraße,2710,76,369,1122,769,269,82,23,167,9260,1878,263,1872,2702,1,1,1,2,2,261,1869,2699,6010210
06020301,Alt-Lankwitz,2683,29,512,813,784,297,132,116,968,9873,2081,702,2075,2677,435,541,43,88,86,224,1446,2156,6020301
06020302,Komponistenviertel Lankwitz,2791,69,374,953,747,354,141,153,1281,10561,2339,693,2305,2756,290,443,68,146,136,335,1715,2330,6020302
06020303,Lankwitz Kirche,4302,174,941,1611,1303,234,22,17,138,13541,2740,526,2711,4264,36,40,8,11,16,482,2660,4212,6020303
06020304,Kaiser-Wilhelm-Straße,4060,319,687,1545,1012,336,101,60,476,13138,2680,587,2641,4011,125,175,25,48,50,437,2417,3836,6020304
06020305,Gemeindepark Lankwitz,6043,662,913,1767,1861,577,156,107,834,19888,4005,885,3893,5618,377,521,16,33,32,492,3339,5209,6020305
06020306,Lankwitz Süd,3265,78,514,772,722,549,329,301,2411,13440,2916,1723,2883,3224,1348,1588,90,172,180,285,1124,1696,6020306
06020407,Thermometersiedlung,2465,105,678,483,903,286,6,4,35,8023,1585,108,1583,2463,9,11,3,6,6,96,1566,2448,6020407
06020408,Lichterfelde Süd,3828,31,699,1345,1020,385,188,160,1240,13837,2803,967,2771,3792,564,693,61,119,122,342,1959,3106,6020408
06020409,Königsberger Straße,4519,461,628,1349,1137,568,165,211,1764,15906,3592,923,3484,4311,378,560,66,167,132,479,2756,3801,6020409
06020410,Oberhofer Platz,3491,39,359,858,1027,599,292,317,2594,14780,3294,1201,3203,3387,680,957,152,311,304,369,1935,2403,6020410
06020411,Schütte-Lanz-Straße,3962,50,251,993,1129,810,397,332,2630,17109,3672,1792,3640,3934,1355,1653,153,286,306,284,1702,2273,6020411
06030501,Berlepschstraße,2659,29,170,739,665,497,298,261,2061,11580,2524,1304,2494,2628,995,1228,76,148,152,233,1118,1481,6030501
06030502,Zehlendorf Süd,3323,116,845,1154,842,287,39,40,338,10643,2114,566,2108,3316,184,222,25,41,50,357,1845,3082,6030502
06030503,Zehlendorf Mitte,6336,108,763,1796,2061,988,391,229,1850,24402,5148,986,5004,6179,208,317,68,147,136,710,4540,5835,6030503
06030504,Teltower Damm,5274,78,528,1190,1347,877,603,651,5227,23322,5247,2402,5206,5233,1644,2332,238,511,476,520,2363,3113,6030504
06030605,Botanischer Garten,3689,189,579,948,1079,429,233,232,1871,13921,3122,652,3054,3604,208,343,41,108,82,403,2603,3314,6030605
06030606,Hindenburgdamm,2682,226,410,970,662,245,101,68,524,8959,1968,398,1936,2645,149,205,18,48,36,231,1682,2460,6030606
06030607,Goerzwerke,1433,254,78,226,435,262,139,39,307,5279,1059,341,963,1118,210,236,25,55,50,106,672,858,6030607
06030608,Schweizer Viertel,5484,223,427,821,1363,1275,779,596,4746,24787,5722,2957,5703,5468,2398,3275,191,365,382,368,2063,2688,6030608
06030609,Augustaplatz,6397,389,769,1931,1727,889,366,326,2638,23907,5370,1251,5272,6274,379,584,102,256,204,770,4432,5691,6030609
06030610,Lichterfelde West,4088,67,379,1167,1000,664,328,483,4059,17673,4153,1240,4036,3978,598,1008,164,400,328,478,2629,3052,6030610
06040701,Wannsee,4791,162,465,964,1081,882,559,678,5784,21856,5373,2387,5255,4592,1825,2839,190,423,380,372,1994,2387,6040701
06040702,Düppel,2206,14,154,187,744,546,351,210,1593,10288,2353,838,2344,2198,590,783,33,66,66,215,1495,1542,6040702
06040703,Nikolassee,5490,605,772,887,1162,790,510,764,6307,22775,5542,2011,5260,4718,1306,2144,188,508,376,517,2609,3036,6040703
06040804,Krumme Lanke,3767,54,262,662,902,737,531,619,5397,18440,4393,1776,4332,3718,1223,1978,160,395,320,393,1959,2175,6040804
06040805,Fischerhüttenstraße,2664,100,341,576,551,484,253,359,2998,11650,2711,1032,2628,2561,632,975,84,209,168,316,1444,1761,6040805
06040806,Fischtal,3803,35,558,1262,535,529,557,327,2583,15647,3201,1917,3197,3792,1418,1712,34,68,68,465,1416,2306,6040806
06040807,Zehlendorf Eiche,2925,88,316,875,659,364,263,360,2932,12311,2816,899,2504,2560,517,862,80,191,160,302,1451,1883,6040807
06040808,Hüttenweg,1985,124,111,352,646,481,194,77,613,8168,1962,336,1909,1866,132,245,5,18,10,199,1647,1724,6040808
06040809,Thielallee,2097,111,136,339,429,301,285,496,4218,10549,2678,937,2610,1962,654,1265,100,245,200,183,1100,1108,6040809
06040810,Dahlem,3478,222,326,621,729,581,316,683,6230,16684,4620,1389,4499,3227,935,2096,135,410,270,319,1993,2022,6040810
