district_name,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
,Anzahl,,,,,,,,,,100 m²,Anzahl,100 m²
Mitte,196533,12065,45177,71288,47772,15507,3299,1425,11155,615855,132423,5206,4269
Friedrichsh.-Kreuzberg,152006,9087,34945,55346,36919,11983,2601,1125,8836,477048,104571,3063,2441
Pankow,215686,6884,37986,76406,58652,24367,7555,3836,30268,744115,157428,3575,2680
Charlottenb.-Wilmersd.,184748,8794,34773,60670,47171,19760,7886,5694,46277,641427,145184,4608,4369
Spandau,119009,2909,17363,41878,33882,14238,5139,3600,29017,429838,88196,1442,1138
Steglitz-Zehlendorf,157517,7074,22177,44749,41366,21547,10463,10141,83392,605044,134409,2045,1850
Tempelh.-Schöneberg,181462,8247,33416,60014,47808,19803,7356,4818,37756,627260,136040,2497,2148
Neukölln,163480,7820,36922,56790,38067,15889,5258,2734,21558,536853,114113,1924,1478
Treptow-Köpenick,140823,5042,21659,46377,41084,17079,6171,3411,27007,501255,102782,1677,1242
Marzahn-Hellersdorf,136488,5937,18117,35560,42073,23758,8030,3013,23326,507439,97513,672,525
