district_name,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
,Anzahl,,,100 m²,m²
Mitte,196533,615855,3.1,132423,67.4
Friedrichshain-Kreuzberg,152006,477048,3.1,104571,68.8
Pankow,215686,744115,3.4,157428,73
Charlottenburg-Wilmersdorf,184748,641427,3.5,145184,78.6
Spandau,119009,429838,3.6,88196,74.1
Steglitz-Zehlendorf,157517,605044,3.8,134409,85.3
Tempelhof-Schöneberg,181462,627260,3.5,136040,75
Neukölln,163480,536853,3.3,114113,69.8
Treptow-Köpenick,140823,501255,3.6,102782,73
Marzahn-Hellersdorf,136488,507439,3.7,97513,71.4
