id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
11010101,228,–,31,50,64,45,23,15,117,948,202,111,185,200,73,92,21,38,42,17,54,85,11010101
11010102,1151,4,47,157,310,340,190,103,816,5465,1182,956,1171,1138,873,958,45,76,90,38,137,175,11010102
11010103,573,17,46,112,113,150,93,42,340,2545,585,426,566,551,372,444,23,35,46,31,87,133,11010103
11010204,4584,166,649,767,2224,757,15,6,46,16582,2919,224,2916,4582,–,–,–,–,–,224,2916,4582,11010204
11010205,3746,206,524,843,1561,566,40,6,49,13146,2317,162,2252,3661,–,–,–,–,–,162,2252,3661,11010205
11010206,3331,19,298,1064,1429,475,45,1,7,12175,2026,239,2025,3330,24,28,1,3,2,214,1995,3304,11010206
11010207,3785,–,391,931,1658,661,139,5,42,14388,2240,383,2200,3727,95,114,1,2,2,287,2084,3630,11010207
11010308,6254,173,1086,1650,2524,778,37,6,48,21551,3895,159,3889,6244,–,–,–,–,–,159,3889,6244,11010308
11010309,5029,69,1029,1108,1826,828,163,6,47,17920,3137,255,3134,5026,59,62,–,–,–,196,3071,4967,11010309
11010310,3482,293,698,606,1273,556,41,15,116,11741,2096,179,2044,3219,18,22,–,–,–,161,2021,3201,11010310
11020411,4266,198,410,839,1171,1025,411,212,1632,17442,3607,1938,3593,4251,1635,1866,95,161,190,208,1567,2426,11020411
11020412,3359,5,373,960,1254,695,33,39,304,12624,2326,311,2290,3322,80,94,4,7,8,227,2189,3234,11020412
11020513,1613,–,252,375,446,334,132,74,633,6508,1475,477,1442,1537,258,360,72,145,144,147,937,1135,11020513
11020514,5435,52,726,2512,1733,348,46,18,148,18136,3418,569,3328,5309,29,41,7,14,14,533,3272,5266,11020514
11020515,8129,616,1347,2608,2248,1080,177,53,388,26976,5071,420,5024,7961,30,33,–,–,–,390,4991,7931,11020515
11020516,1894,40,209,742,431,326,76,70,541,7035,1586,712,1583,1891,545,593,33,56,66,134,933,1280,11020516
11030617,3547,–,679,1350,1311,200,6,1,8,11696,1972,159,1966,3536,2,2,1,2,2,156,1961,3532,11030617
11030618,9830,827,1577,3155,3131,1097,27,16,126,31743,5661,350,5400,8949,1,0,2,9,4,347,5391,8944,11030618
11030619,6223,60,1622,1904,1740,759,132,6,51,20614,3620,178,3609,6214,–,–,–,–,–,178,3609,6214,11030619
11030720,3010,293,1072,736,700,184,20,5,41,8526,1827,141,1761,2842,34,46,2,4,4,105,1711,2804,11030720
11030721,13181,436,2625,4669,3938,1168,293,52,454,43497,8678,1696,8344,12645,526,681,12,22,24,1158,7641,12095,11030721
11030824,5149,303,774,1011,1824,1045,186,6,53,18574,3311,117,3141,4783,3,4,1,2,2,113,3136,4778,11030824
11040925,2108,85,561,687,566,163,26,20,166,6669,1532,237,1505,2075,11,16,–,–,–,226,1489,2064,11040925
