id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
,,,,,,,,Woh-nungen,Räume,,,Woh-nungen,Wohn-fläche
,Anzahl,,,,,,,,,,100 m²,Anzahl,100 m²
01,205703,14362,48314,73612,48840,15734,3378,1463,11451,637575,138249,5328,4347
02,156661,9988,36224,56528,37805,12279,2677,1160,9108,489805,107966,3159,2495
03,223923,8647,40133,78319,60019,24974,7823,4008,31653,767407,163771,3733,2737
04,189119,9566,36069,62044,47855,19918,7968,5699,46361,653015,148840,4695,4418
05,123361,3299,18798,43040,34646,14514,5349,3715,29959,443222,91683,1440,1137
06,159228,7318,22558,45201,41686,21686,10506,10273,84582,610829,135976,1991,1818
07,185385,9128,34488,60963,48298,20138,7511,4859,38105,638046,139028,2499,2151
