id,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
,Gebäude,Wohn-fläche,Woh-nungen,Gebäude/Woh-nungen,Wohn-fläche,Gebäude,Wohn-fläche,Woh-nungen,Gebäude,Wohn-fläche,Woh-nungen,Gebäude,Wohn-fläche,Woh-nungen
,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,,100 m²,Anzahl
01,13590,133903,200375,576,673,184,370,368,12778,131546,195482,52,1314,3949
,9865,105471,153502,301,405,92,179,184,9458,104552,152117,14,334,900
03,37968,161034,220190,19573,22965,1632,2985,3264,16730,134638,196088,33,446,1265
,18128,144422,184424,3983,6772,703,1755,1406,13377,134745,176161,65,1151,2874
05,28675,90546,121921,17729,21351,1617,3003,3234,9311,65909,100428,18,283,530
06,40879,134158,157237,22718,33327,2789,6357,5578,15279,93350,125951,93,1124,2990
,29042,136877,182886,13337,16373,1470,2748,2940,14194,117110,165011,41,646,1598
