district_name,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
,Anzahl,,,100 m²,m²
Mitte,198948,621740,3.1,134007,67.4
Friedrichshain-Kreuzberg,153614,481973,3.1,105880,68.9
Pankow,217872,749977,3.4,158997,73
Charlottenburg-Wilmersdorf,185828,644765,3.5,146259,78.7
Spandau,120274,433604,3.6,89291,74.2
Steglitz-Zehlendorf,158166,607147,3.8,134968,85.3
Tempelhof-Schöneberg,182092,629330,3.5,136593,75
Neukölln,164275,539317,3.3,114741,69.8
Treptow-Köpenick,143371,508180,3.5,104589,72.9
