id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
070101,27652,1983,6050,8980,6807,2571,774,487,3900,89650,20162,1719,19498,26656,28,32,12,20,24,1679,19448,26604,28040410
070202,28206,1508,6015,9972,6961,2439,900,411,3135,92028,20909,1919,20348,27468,12,12,8,11,16,1899,20327,27440,28080810
070303,24372,650,3437,7637,7125,3579,1333,611,4726,89554,19664,2150,19373,24054,43,60,36,89,72,2071,19225,23939,21090906
070404,34513,1816,7472,12607,8329,2836,779,674,5322,112073,23544,4549,23077,33907,1275,1648,82,148,164,3192,21281,32468,42242421
070505,27338,924,5197,9273,7747,2630,934,633,4993,93872,19483,5394,19144,26744,2553,3114,344,610,688,2497,15419,23503,42303021
070606,15651,553,2396,5003,4685,1972,635,407,3161,55925,11702,3219,11581,15431,2015,2282,170,305,340,1034,8994,13076,28242410
070707,25391,1215,3275,6890,6312,3978,2094,1627,12777,98914,21917,9876,21560,24825,7317,9059,816,1555,1632,1743,10945,15876,49494928
