id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
4010101,6011.0,124.0,1449.0,2148.0,1753.0,452.0,71.0,14.0,114.0,19278.0,3373.0,562.0,3363.0,5999.0,1.0,1.0,2.0,4.0,4.0,559.0,3358.0,5994.0,4010101
4010102,287.0,2.0,11.0,88.0,81.0,47.0,22.0,36.0,329.0,1308.0,343.0,225.0,329.0,274.0,193.0,263.0,22.0,33.0,44.0,10.0,33.0,37.0,4010102
4010103,3849.0,1.0,562.0,1571.0,1347.0,351.0,2.0,15.0,107.0,13100.0,2488.0,182.0,2481.0,3842.0,0.0,0.0,0.0,0.0,0.0,182.0,2481.0,3842.0,4010103
4020204,71.0,2.0,15.0,6.0,10.0,11.0,27.0,0.0,0.0,307.0,70.0,10.0,57.0,53.0,0.0,0.0,1.0,2.0,2.0,9.0,54.0,51.0,4020204
4020205,613.0,7.0,34.0,119.0,201.0,102.0,74.0,76.0,623.0,2813.0,634.0,269.0,627.0,603.0,132.0,207.0,50.0,99.0,100.0,87.0,320.0,371.0,4020205
4020206,1714.0,5.0,125.0,544.0,758.0,191.0,48.0,43.0,344.0,6506.0,1392.0,116.0,1392.0,1714.0,51.0,67.0,5.0,11.0,10.0,60.0,1314.0,1653.0,4020206
4020207,1541.0,106.0,307.0,461.0,363.0,121.0,83.0,100.0,802.0,5460.0,1293.0,325.0,1272.0,1500.0,170.0,280.0,17.0,40.0,34.0,138.0,952.0,1296.0,4020207
4020208,1362.0,124.0,127.0,193.0,296.0,220.0,134.0,268.0,2255.0,6300.0,1609.0,592.0,1567.0,1306.0,474.0,784.0,21.0,55.0,42.0,97.0,728.0,790.0,4020208
4020209,1169.0,93.0,79.0,115.0,145.0,151.0,189.0,397.0,3166.0,6231.0,1407.0,781.0,1277.0,945.0,668.0,1023.0,84.0,161.0,168.0,29.0,93.0,109.0,4020209
4020310,317.0,107.0,85.0,61.0,44.0,11.0,5.0,4.0,37.0,758.0,185.0,62.0,100.0,108.0,54.0,56.0,1.0,2.0,2.0,7.0,41.0,52.0,4020310
4020311,8461.0,772.0,1212.0,2273.0,2039.0,1187.0,519.0,459.0,3772.0,30992.0,7022.0,929.0,6766.0,7878.0,189.0,391.0,42.0,108.0,84.0,698.0,6267.0,7605.0,4020311
