year,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
2021,2014192,106549,384400,686155,531943,204031,63402,37712,296923,6759076,1463103,60541,41487
2022,2028467,109626,388168,689721,534503,204871,63719,37859,298198,6798004,1472855,28353,21023
2023,2043583,114619,392156,692641,536418,205611,64042,38096,300214,6835047,1482476,28556,21168
2 Wohnungsbestand in Berlin am 31. Dezember 2023 nach Bezirken,,,,,,,,,,,,,
