id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
12100102,Hausotterplatz,4927,184,1298,1951,1140,273,63,18,141,15077,3123,552,3028,4777,22,32,20,39,40,510,2957,4715,12100102
12100103,Breitkopfbecken,4329,69,1007,2136,928,163,21,5,41,13185,2504,458,2451,4258,11,10,8,10,16,439,2431,4231,12100103
12100204,Schäfersee,5164,294,1215,2123,1133,353,39,7,54,15678,3179,600,3156,5132,100,92,3,4,6,497,3060,5026,12100204
12100205,Teichstraße,7029,550,1109,2297,2384,594,58,37,289,22802,4425,948,4380,6973,252,264,43,72,86,653,4045,6635,12100205
12100206,Humboldtstraße,2661,36,444,1231,770,158,12,10,74,8633,1609,395,1594,2637,46,48,32,49,64,317,1497,2527,12100206
12200307,Reinickes Hof,1533,38,294,727,402,53,18,1,8,4796,952,261,941,1519,71,84,8,13,16,182,845,1432,12200307
12200308,Meller Bogen,3047,131,479,1154,1003,215,52,13,104,10054,2032,361,2020,3033,129,147,14,28,28,218,1845,2876,12200308
12200309,Scharnweberstraße,6035,647,963,2504,1555,295,49,22,176,18250,3550,687,3390,5434,81,94,5,10,10,601,3285,5343,12200309
12200310,Klixstraße,3909,394,725,1303,1164,289,22,12,91,12077,2421,304,2415,3902,16,15,5,8,10,283,2392,3876,12200310
12200411,Schumacher-Quartier,168,–,7,28,78,28,25,2,17,717,137,71,133,163,47,45,7,10,14,17,79,102,12200411
12200412,Waldidyll/Flughafensee,2710,41,244,766,742,476,246,195,1537,11188,2515,1278,2473,2646,968,1234,101,181,202,209,1058,1476,12200412
12200413,Tegel Süd,4357,355,462,1939,1315,235,32,19,148,13871,2677,452,2651,4323,60,63,6,11,12,386,2577,4251,12200413
12200414,TXL,555,48,13,101,221,72,86,14,106,2243,496,327,496,555,286,299,9,16,18,32,181,251,12200414
12200515,Alt-Tegel,6377,389,1284,2308,1695,496,144,61,495,20500,4703,758,4649,6284,174,268,38,85,76,546,4297,6034,12200515
12400616,Konradshöhe/Tegelort,2870,32,210,562,780,645,350,291,2276,12859,3145,1827,3134,2858,1466,1937,167,322,334,194,875,1058,12400616
12400617,Alt-Heiligensee,2965,15,165,447,832,728,434,344,2650,13908,3354,2232,3319,2926,1905,2424,194,362,388,133,533,633,12400617
12400618,Heiligensee Nord,1705,21,108,348,528,419,179,102,786,7348,1636,1204,1603,1653,1064,1152,71,125,142,69,326,447,12400618
12400619,Heiligensee,3595,152,407,517,879,783,466,391,3048,15792,3736,2376,3700,3528,1982,2549,237,432,474,157,718,1072,12400619
12400720,Frohnau West,4055,60,268,771,972,804,540,640,5145,19202,4747,2407,4736,4039,1884,2893,175,365,350,348,1477,1805,12400720
12400721,Frohnau Ost,3765,51,273,664,877,730,539,631,4965,17946,4396,2348,4359,3723,1877,2799,182,390,364,289,1170,1482,12400721
12400722,Hermsdorf West,4456,215,495,812,1039,861,542,492,3930,19284,4582,2368,4478,4269,1792,2455,231,459,462,345,1565,2015,12400722
12400723,Hermsdorf Ost/Waldsee,3999,63,307,892,1074,794,460,409,3267,17646,4203,2184,4125,3916,1626,2172,221,439,442,337,1514,1848,12400723
12500824,Ziekowstraße/Freie Scholle,5755,126,751,2803,1230,461,243,141,1082,19802,4021,1851,4015,5746,1099,1189,101,173,202,651,2653,4445,12500824
12500825,Borsigwalde,4318,217,911,1869,858,287,115,61,466,13669,2903,862,2860,4218,332,394,51,89,102,479,2377,3784,12500825
12500926,Wittenau Mitte,2858,56,482,1233,773,175,81,58,456,9628,1902,671,1865,2810,340,401,39,70,78,292,1394,2392,12500926
12500927,Wittenau Nord,3291,16,425,1122,945,429,213,141,1067,12502,2806,992,2731,3135,583,754,80,143,160,329,1834,2392,12500927
12500928,Waidmannslust,2598,63,294,743,657,403,226,212,1699,10578,2417,1111,2394,2569,720,972,138,265,276,253,1157,1573,12500928
12500929,Lübars,2176,19,113,415,553,548,293,235,1835,10035,2338,1596,2317,2154,1384,1694,113,202,226,99,422,544,12500929
12500930,Wittenau Süd,4691,89,744,1633,1436,546,123,120,919,16607,3304,1208,3296,4685,723,801,64,102,128,421,2392,3834,12500930
12601031,Lübarser Straße,1506,10,200,561,296,253,89,97,757,5833,1263,637,1234,1471,475,577,73,129,146,89,528,850,12601031
