year,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
2021,2014192,6759076,3.4,1463103,72.6
2022,2028467,6798004,3.4,1472855,72.6
2023,2043583,6835047,3.3,1482476,72.5
"4 Wohnungsbestand, Wohnfläche und Räume je Wohnung in Berlin am 31. Dezember 2023   nach Bezirken",,,,,
