id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
04100101,Jungfernheide/Plötzensee,6181,334,817,2373,2272,363,10,12,90,20140,3510,611,3463,6121,25,19,4,8,8,582,3436,6088,4100101
04100102,Paul-Hertz-Siedlung,3816,–,545,1568,1326,358,2,17,128,13028,2471,280,2407,3641,13,13,1,1,2,266,2393,3626,4100102
04200203,Olympiagelände,695,21,38,141,197,124,89,85,669,3131,725,289,715,680,156,260,30,64,60,103,391,464,4200203
04200204,Angerburger Allee,1687,53,583,583,342,108,8,10,76,5000,1286,132,1286,1686,65,88,6,10,12,61,1187,1609,4200204
04200205,Flatowallee,1577,150,398,350,322,230,62,65,521,5327,1287,314,1265,1528,157,263,10,22,20,147,980,1351,4200205
04200206,Kranzallee,1392,95,118,239,326,273,137,204,1678,6217,1637,583,1635,1390,441,745,34,100,68,108,790,881,4200206
04200207,Eichkamp,1600,599,62,106,166,154,183,330,2598,6171,1491,788,1351,971,678,1080,68,138,136,42,133,157,4200207
04200308,Branitzer Platz,3500,345,724,970,835,308,162,156,1278,11833,2939,567,2826,3223,170,343,58,167,116,339,2315,2937,4200308
04200309,Neu Westend,3943,96,615,1320,1212,360,219,121,938,14186,3229,483,3193,3877,81,165,13,26,26,389,3002,3770,4200309
04200310,Fürstenplatz,4304,390,842,1082,1017,485,246,242,1947,15236,3963,452,3805,4076,107,243,32,95,64,313,3467,3905,4200310
04200311,Königin-Elisabeth-Straße,4422,392,781,1416,1293,387,109,44,344,14307,3090,332,3023,4344,6,12,2,4,4,324,3008,4334,4200311
04300412,Schlossgarten,2517,429,819,778,293,142,38,18,132,6643,1512,100,1425,2184,3,6,1,2,2,96,1417,2179,4300412
04300413,Klausenerplatz,5225,293,1064,1832,1507,388,111,30,230,16781,3599,442,3484,4901,14,20,–,–,–,428,3464,4887,4300413
04300414,Schloßstraße,6167,229,1367,2135,1537,680,157,62,471,20329,4641,424,4548,6054,10,9,3,3,6,411,4536,6038,4300414
04300415,Lietzensee,3903,265,849,1254,929,367,167,72,548,12826,3139,242,3001,3661,3,7,1,3,2,238,2991,3656,4300415
04300416,Amtsgerichtsplatz,6977,542,1417,2235,1624,754,296,109,835,22958,5528,486,5384,6672,14,14,4,6,8,468,5364,6650,4300416
04300517,Tegeler Weg,5784,302,1414,2678,1018,307,51,14,105,17182,3766,443,3746,5758,7,4,3,7,6,433,3735,5745,4300517
04300518,Kaiserin-Augusta-Allee,3415,203,868,1410,755,129,37,13,98,10154,2378,229,2238,3188,3,6,–,–,–,226,2232,3185,4300518
04300619,Alt-Lietzow,5163,427,1329,1811,1109,397,65,25,185,15514,3421,333,3332,4994,8,7,5,7,10,320,3318,4976,4300619
04300620,Spreestadt,2260,289,652,744,396,116,43,20,153,6400,1602,118,1394,1954,2,2,4,6,8,112,1386,1944,4300620
04300621,Richard-Wagner-Straße,6224,530,1492,2187,1363,513,96,43,320,18988,4341,428,4106,5823,12,10,3,6,6,413,4089,5805,4300621
04300622,Ernst-Reuter-Platz,2989,351,715,1157,546,160,55,5,40,8606,1955,158,1835,2808,4,3,1,2,2,153,1831,2802,4300622
04300623,Karl-August-Platz,7261,632,1969,2467,1505,497,148,43,321,21685,5096,465,4842,6778,8,7,9,16,18,448,4819,6752,4300623
