year,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
2021,332015,1421617,1953651,171571,216502,16242,31312,32484,143558,1164962,1724857,644,8841,24739
2022,334715,1451832,2000114,172101,217391,16304,31464,32608,145661,1193960,1770058,649,9017,25347
2023,335971,1461308,2015027,172743,218474,16387,31651,32774,146172,1201840,1782937,669,9343,26573
6 Wohngebäude in Berlin am 31. Dezember 2023 nach Gebäudegröße und Bezirken,,,,,,,,,,,,,,
