district_name,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
Charlottenb.-Wilmersd.,196816,12406,41047,66980,47627,17804,6826,4126,32488,648412,151407,4096,3403
Spandau,127822,5944,22775,44508,33312,13430,4762,3091,24141,438129,94294,842,587
Steglitz-Zehlendorf,162269,8437,24341,49670,41217,20434,9510,8660,70438,600665,137900,1203,1001
Tempelh.-Schöneberg,187628,10528,38132,63409,47438,18466,6060,3595,27917,623378,137759,1905,1466
Neukölln,168189,9074,35929,61634,40673,14110,4226,2543,19795,544227,117206,1545,1075
Treptow-Köpenick,156045,7392,22775,54691,46156,17127,5126,2778,21615,539645,112696,2408,1392
Marzahn-Hellersdorf,144905,5708,23699,37362,47394,22987,5462,2293,17752,520227,104796,1706,1093
Lichtenberg,167725,11474,29157,54825,49785,17464,3717,1303,10078,553103,108623,2650,1732
Reinickendorf,133303,4769,21248,43720,35658,16678,6269,4961,39034,481095,103146,1164,902
Berlin,2043583,114619,392156,692641,536418,205611,64042,38096,300214,6835047,1482476,28556,21168
_____,,,,,,,,,,,,,
1 einschließlich Wohnheime,,,,,,,,,,,,,
