id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
051001,12544,899.0,2075,4831.0,2989,1177.0,357.0,216.0,1683.0,41208,8695,2174,8611,12372,1001,1288,132.0,241.0,264.0,1041,7083,11107,20400414
051002,22182,924.0,5734,7793.0,4845,1884.0,594.0,408.0,3127.0,71262,15570,4180,15446,21869,2559,3082,197.0,353.0,394.0,1424,12013,18916,30601251
051003,20009,1235.0,4129,7969.0,4963,1386.0,238.0,89.0,687.0,62297,12964,2092,12574,19395,190,229,58.0,100.0,116.0,1844,12245,19089,30601887
052004,11475,180.0,1757,3370.0,3263,1639.0,824.0,442.0,3438.0,43433,9211,4414,9142,11387,3378,3895,309.0,528.0,618.0,727,4717,7391,31202523
052005,14022,920.0,2044,4348.0,4145,1671.0,490.0,404.0,3208.0,49135,10867,3056,10730,13685,2111,2741,202.0,373.0,404.0,743,7614,11170,26002630
052006,20454,757.0,3659,8474.0,5383,1526.0,410.0,245.0,1946.0,67065,14185,2824,14039,20240,869,1176,107.0,221.0,214.0,1848,12644,19157,31203789
053007,9446,632.0,1426,3271.0,3079,854.0,137.0,47.0,355.0,31060,6058,1601,5999,9323,767,890,37.0,60.0,74.0,797,5050,8482,15902208
053008,3849,45.0,588,1475.0,951,620.0,116.0,54.0,405.0,13651,2661,585,2638,3824,201,231,9.0,16.0,18.0,375,2391,3605,15902517
