id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
05,127104,5825,22584,44300,33207,13380,4737,3071,23932,435975,93774,743,557
06,162132,8411,24322,49640,41210,20417,9494,8638,70252,600116,137717,1204,1002
07,186905,10148,37966,63366,47386,18435,6030,3574,27728,621805,137332,1900,1459
08,167606,8858,35843,61530,40567,14071,4200,2537,19735,542692,116800,1543,1073
09,153902,6353,22511,54306,45901,16992,5084,2755,21413,534774,111545,2405,1380
10,142848,5395,23145,36862,47007,22798,5389,2252,17415,514038,103271,1703,1090
11,164320,10346,27934,54239,49429,17387,3698,1287,9937,545707,106738,2650,1731
12,132818,4568,21151,43641,35598,16670,6259,4931,38794,479883,102799,1157,895
,2028467,109626,388168,689721,534503,204871,63719,37859,298198,6798004,1472855,28353,21023
,,,,,,,,,,,,,
,,,,,,,,,,,,,
