id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
05010101,Hakenfelde Nord,4525,63,743,1831,1101,489,167,131,1458,16351,3432,1034,3328,4390,634,617,35,67,70,365,2644,3686,5010101
05010102,Goltzstraße,3711,157,834,1420,1098,150,46,6,44,11547,2161,355,2155,3701,31,36,21,36,42,303,2083,3628,5010102
05010103,Amorbacher Weg,4106,68,359,1410,1239,535,252,243,1948,16107,3275,1441,3245,4069,907,1142,127,237,254,407,1866,2908,5010103
05010204,Griesingerstraße,1301,116,277,222,364,160,109,53,400,4646,954,380,952,1300,333,368,11,22,22,36,561,945,5010204
05010205,An der Tränke,747,3,30,112,196,179,128,99,877,3723,790,519,788,745,440,548,41,74,82,38,166,223,5010205
05010206,Gütersloher Weg,5216,131,900,2100,1268,535,176,106,826,17860,3806,892,3795,5201,617,707,58,101,116,217,2988,4468,5010206
05010207,Darbystraße,5616,80,836,1711,2004,879,93,13,103,19957,3707,465,3693,5603,113,122,–,–,–,352,3571,5490,5010207
05010208,Germersheimer Platz,4413,13,378,2295,1437,242,36,12,96,14924,2641,549,2638,4410,1,1,5,9,10,543,2629,4399,5010208
05010209,An der Kappe,2994,51,252,935,836,474,251,195,1527,12107,2520,1368,2486,2951,1048,1202,115,199,230,205,1085,1673,5010209
05010310,Eckschanze,2241,136,315,1071,574,102,31,12,110,7081,1392,244,1362,2203,11,12,5,6,10,228,1343,2182,5010310
05010311,Eiswerder,2164,82,713,689,451,200,17,12,86,6567,1489,203,1459,2118,70,94,5,10,10,128,1356,2038,5010311
05010312,Kurstraße,3501,235,816,1344,814,242,40,10,78,10683,2283,277,2139,3295,4,4,3,5,6,270,2130,3285,5010312
05010313,Ackerstraße,3458,143,686,1315,928,291,58,37,291,11266,2375,340,2283,3342,12,12,7,12,14,321,2259,3316,5010313
05010314,Carl-Schurz-Straße,6659,163,886,3092,1917,444,84,73,591,22194,4278,800,4098,6425,43,49,23,39,46,734,4010,6336,5010314
05010339,Freiheit,246,10,97,52,63,17,6,1,7,740,174,27,160,231,7,7,–,–,–,20,154,224,5010339
05020415,Isenburger Weg,1469,4,42,190,359,436,269,169,1333,7221,1582,1289,1571,1458,1186,1346,78,140,156,25,86,116,5020415
05020416,Am Heideberg,998,1,69,249,642,25,9,3,25,3658,599,490,597,997,299,200,39,53,78,152,345,620,5020416
05020417,Staakener Straße,2699,61,285,456,687,609,356,245,1909,11837,2497,1593,2460,2645,1300,1506,165,292,330,128,662,1015,5020417
05020418,Spandauer Straße,2055,170,204,792,493,172,177,47,351,7199,1471,464,1462,2045,290,354,21,38,42,153,1069,1713,5020418
05020419,Magistratsweg,3913,135,598,1658,1118,367,21,16,130,12868,2587,435,2586,3911,191,201,33,51,66,211,2334,3654,5020419
05020420,Werkstraße,413,6,42,90,134,78,31,32,256,1728,361,182,355,407,126,158,14,26,28,42,172,253,5020420
05020521,Döberitzer Weg,1237,1,40,346,346,284,129,91,713,5410,1208,690,1201,1229,544,681,71,113,142,75,407,543,5020521
05020522,Pillnitzer Weg,3440,–,678,969,1244,453,42,54,400,12156,2343,367,2334,3431,185,224,28,59,56,154,2051,3190,5020522
05020523,Maulbeerallee,5434,21,981,1728,1956,628,73,47,410,18979,3831,486,3814,5417,219,245,18,34,36,249,3535,5162,5020523
05020524,Weinmeisterhornweg,3300,37,464,802,1013,429,301,254,2025,13399,2840,1362,2821,3275,1029,1279,122,223,244,211,1318,2002,5020524
05020625,Borkumer Straße,4154,84,820,1512,1333,325,47,33,267,13766,2830,390,2799,4115,25,34,3,4,6,362,2761,4084,5020625
05020626,Adamstraße,10283,212,1500,4647,2843,839,163,79,606,34304,6823,1138,6630,9948,63,71,11,19,22,1064,6541,9863,5020626
05020627,Tiefwerder,2145,16,420,876,575,191,47,20,148,7169,1502,275,1494,2136,104,129,12,22,24,159,1342,2008,5020627
05020628,Graetschelsteig,1162,–,133,538,397,72,9,13,108,3990,779,114,777,1160,25,35,5,9,10,84,734,1125,5020628
05020629,Börnicker Straße,2574,99,385,615,664,394,197,220,1782,10304,2441,948,2410,2542,660,862,96,205,192,192,1344,1690,5020629
05030730,Zitadellenweg,1300,2,28,257,545,314,116,38,299,5574,1117,632,1107,1287,572,609,6,10,12,54,488,703,5030730
05030731,Gartenfelder Straße,6468,203,1002,2802,1989,388,67,17,129,21040,3952,793,3895,6353,107,118,26,45,52,660,3731,6194,5030731
05030832,Rohrdamm,6040,330,886,2669,1235,687,164,69,525,19993,4140,772,4080,5954,206,223,8,14,16,558,3843,5732,5030832
05030833,Motardstraße,235,8,134,71,15,4,2,1,7,588,156,32,151,229,5,5,1,1,2,26,145,222,5030833
05040934,Alt-Gatow,1513,29,128,230,308,346,242,230,1828,7217,1710,1128,1675,1470,991,1270,70,141,140,67,264,339,5040934
05040935,Groß-Glienicker Weg,202,–,70,14,39,57,15,7,59,772,148,123,145,200,117,113,–,–,–,6,32,83,5040935
05040936,Jägerallee,4107,28,191,384,893,1398,686,527,4143,20383,4737,3252,4693,4051,2928,3736,179,354,358,145,603,765,5040936
05040937,Kladower Damm,993,4,25,123,318,310,100,113,939,4784,1065,793,1042,970,702,797,53,121,106,38,123,162,5040937
05040938,Kafkastraße,1570,4,25,124,365,458,352,242,1924,8212,1808,1194,1795,1553,1045,1359,73,144,146,76,293,362,5040938
