district_name,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
Mitte,13139,126524,188854,569,662,183,369,366,12337,124303,184452,50,1190,3467
Friedrichsh.-Kreuzb.,9585,100878,147116,292,389,87,169,174,9194,100012,145877,12,307,773
Pankow,36709,153388,210571,18835,21865,1576,2862,3152,16276,128374,187910,22,288,674
Charlbg.-Wilmersd.,17860,139955,179292,3954,6691,691,1721,1382,13157,130479,171387,58,1064,2569
Spandau,27851,86664,117161,17190,20476,1588,2934,3176,9058,63067,96401,15,188,394
Steglitz-Zehlendorf,40519,131870,154649,22520,32823,2777,6290,5554,15137,91874,124265,85,883,2310
Tempelh.-Schöneb.,28539,133605,178657,13003,15811,1465,2732,2930,14034,114425,161235,37,638,1489
Neukölln,27875,112107,160908,15607,17430,1452,2637,2904,10785,91554,141300,31,485,1097
Treptow-Köpenick,37071,99900,137057,23325,25712,2082,3795,4164,11624,69860,108039,40,533,1529
Marzahn-Hellersd.,31124,95980,134284,22013,24810,1889,3283,3778,7018,64610,102832,204,3277,5661
Lichtenberg,16789,98441,149837,6710,8150,606,1108,1212,9433,88372,139865,40,811,2050
