id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
11010101,Dorf Malchow,219,–,27,48,64,45,21,14,110,915,194,103,177,191,66,85,20,38,40,17,54,85,11010101
11010102,Dorf Wartenberg,1141,4,47,157,307,338,187,101,800,5409,1167,946,1157,1128,863,944,45,76,90,38,137,175,11010102
11010103,Dorf Falkenberg,570,16,47,110,113,150,92,42,341,2535,582,425,564,548,371,442,23,36,46,31,87,131,11010103
11010204,Falkenberg Ost,4584,166,649,767,2224,757,15,6,46,16582,2919,224,2916,4582,–,–,–,–,–,224,2916,4582,11010204
11010205,Falkenberg West,3662,206,524,759,1561,566,40,6,49,12894,2253,162,2252,3661,–,–,–,–,–,162,2252,3661,11010205
11010206,Wartenberg Süd,3330,19,298,1064,1429,475,45,–,–,12168,2025,239,2024,3329,24,28,1,3,2,214,1993,3303,11010206
11010207,Wartenberg Nord,3727,–,391,923,1629,660,119,5,42,14123,2200,383,2200,3727,95,114,1,2,2,287,2084,3630,11010207
11010308,Zingster Straße Ost,6254,173,1086,1650,2524,778,37,6,48,21551,3895,159,3889,6244,–,–,–,–,–,159,3889,6244,11010308
11010309,Zingster Straße West,5029,69,1029,1108,1826,828,163,6,47,17920,3137,255,3134,5026,59,62,–,–,–,196,3071,4967,11010309
11010310,Mühlengrund,3220,31,698,606,1273,556,41,15,116,11479,2045,179,2044,3219,18,22,–,–,–,161,2021,3201,11010310
11020411,Malchower Weg,4203,147,408,838,1187,1017,400,206,1583,17293,3565,1914,3552,4188,1612,1830,95,161,190,207,1561,2386,11020411
11020412,Hauptstraße,3358,5,372,960,1254,695,33,39,304,12622,2326,310,2290,3321,79,94,4,7,8,227,2189,3234,11020412
11020513,Orankesee,1606,–,247,374,447,332,131,75,639,6489,1470,475,1436,1530,258,361,72,147,144,145,928,1128,11020513
11020514,Große-Leege-Straße,5293,43,654,2485,1700,347,46,18,148,17765,3310,555,3219,5167,28,39,7,14,14,520,3165,5125,11020514
11020515,Landsberger Allee,7922,460,1321,2583,2248,1080,177,53,388,26693,4997,419,4997,7922,30,33,–,–,–,389,4964,7892,11020515
11020516,Weiße Taube,1791,40,209,739,413,253,72,65,506,6530,1466,610,1463,1788,444,476,32,54,64,134,933,1280,11020516
11030617,Hohenschönhausener Straße,3547,–,679,1350,1311,200,6,1,8,11696,1972,159,1966,3536,2,2,1,2,2,156,1961,3532,11030617
11030618,Fennpfuhl West,9233,242,1577,3143,3131,1097,27,16,126,31122,5542,350,5400,8949,1,0,2,9,4,347,5391,8944,11030618
11030619,Fennpfuhl Ost,6220,60,1621,1903,1740,760,132,4,29,20592,3616,178,3609,6213,–,–,–,–,–,178,3609,6213,11030619
11030720,Herzbergstraße,2366,143,792,606,653,147,20,5,41,7053,1425,92,1359,2198,7,6,2,4,4,83,1349,2187,11030720
11030721,Rüdigerstraße,12747,251,2523,4607,3902,1121,292,51,447,42530,8396,1640,8114,12378,481,623,12,22,24,1147,7470,11873,11030721
11030824,Frankfurter Allee Süd,5148,303,773,1011,1824,1045,186,6,53,18572,3310,117,3141,4783,3,4,1,2,2,113,3136,4778,11030824
11040925,Victoriastadt,2098,84,559,684,563,163,25,20,166,6637,1523,236,1496,2065,11,16,–,–,–,225,1480,2054,11040925
