id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
08010115,Hasenheide,483,27,84,192,96,53,23,8,67,1625,412,30,397,470,–,–,–,–,–,30,397,470,8010115
08010116,Wissmannstraße,2029,428,455,696,330,87,25,8,66,5397,1239,110,1184,1950,2,3,3,5,6,105,1176,1942,8010116
08010117,Schillerpromenade,8900,500,2847,3634,1378,433,78,30,229,25470,5390,570,5316,8807,3,2,–,–,–,567,5314,8804,8010117
08010118,Silbersteinstraße,5929,526,1604,2354,1065,262,85,33,255,17131,3717,384,3697,5900,7,6,3,5,6,374,3686,5887,8010118
08010211,Flughafenstraße,4980,190,1355,2082,947,305,78,23,181,15108,3366,317,3215,4727,2,2,3,4,6,312,3209,4719,8010211
08010212,Rollberg,3419,448,1150,1189,473,122,24,13,121,9082,2321,204,2268,3345,5,8,1,2,2,198,2258,3338,8010212
08010213,Körnerpark,6393,348,1989,2361,1238,350,86,21,168,18795,4070,471,4006,6302,1,1,–,–,–,470,4005,6301,8010213
08010214,Glasower Straße,3985,338,786,1656,907,212,60,26,195,12121,2567,378,2460,3830,22,22,2,6,4,354,2432,3804,8010214
08010301,Reuterkiez,14971,982,4135,5886,2798,893,190,87,690,44397,9902,1014,9734,14762,8,6,4,5,8,1002,9723,14746,8010301
08010302,Bouchéstraße,2315,21,534,973,632,139,14,2,15,7330,1413,171,1407,2300,–,–,–,–,–,171,1407,2300,8010302
08010303,Donaustraße,4178,275,1003,1673,847,294,63,23,189,12725,2760,284,2677,4061,10,8,1,1,2,273,2669,4049,8010303
08010404,Rixdorf,11639,565,2942,4612,2515,743,198,64,509,35757,7904,860,7706,11372,31,35,10,21,20,819,7651,11321,8010404
08010405,Hertzbergplatz,4608,148,972,1874,1143,415,44,12,95,14720,3012,343,3011,4607,2,1,1,2,2,340,3008,4603,8010405
08010406,Treptower Straße Nord,3468,95,923,1552,682,190,20,6,52,10447,2077,235,2008,3355,4,5,1,1,2,230,2002,3349,8010406
08010407,Gewerbegebiet Ederstraße,473,37,121,204,82,26,3,–,–,1367,279,20,275,469,–,–,–,–,–,20,275,469,8010407
08010508,Weiße Siedlung,2400,153,319,286,646,822,163,11,83,9404,1501,166,1468,2262,41,46,5,8,10,120,1414,2211,8010508
08010509,Schulenburgpark,3960,387,1207,1095,951,284,33,3,22,11530,2491,510,2384,3733,184,180,14,20,28,312,2183,3521,8010509
08010510,Gewerbegebiet  Köllnische Heide,174,41,47,48,20,7,7,4,35,471,124,21,93,146,2,1,4,9,8,15,83,136,8010510
08020619,Buschkrugallee Nord,5665,428,1393,2180,1155,396,80,33,309,17143,3477,686,3343,5391,158,147,16,29,32,512,3167,5201,8020619
08020620,Tempelhofer Weg,4864,250,1061,2122,1169,196,41,25,203,14843,3056,496,3006,4714,36,42,14,26,28,446,2939,4650,8020620
08020621,Mohriner Allee Nord,989,3,30,143,253,259,180,121,950,4829,1067,749,1062,983,656,792,49,91,98,44,179,229,8020621
08020622,Parchimer Allee,7893,222,2221,3150,1366,530,345,59,455,24753,5044,2065,4996,7812,1183,1119,67,90,134,815,3787,6495,8020622
08020623,Ortolanweg,593,3,197,163,138,55,30,7,54,1947,435,219,422,577,155,126,3,10,6,61,287,416,8020623
08020624,Britzer Garten,638,–,4,245,152,181,33,23,191,2645,548,322,544,636,268,329,9,16,18,45,199,350,8020624
08020625,Handwerker-Siedlung,1910,161,608,284,339,272,156,90,687,6568,1333,789,1323,1897,713,766,25,46,50,51,511,1134,8020625
08020726,Buckow West,4272,145,648,1311,1276,527,199,166,1277,15584,3347,1660,3323,4245,1215,1304,77,137,154,368,1882,2876,8020726
08020727,Buckow Mitte,5802,127,844,1492,1806,1061,332,140,1086,21898,4448,1431,4339,5585,921,1049,60,118,120,450,3172,4544,8020727
08020728,Buckow Ost,4598,384,1125,938,1366,478,158,149,1167,15417,3223,1087,3204,4568,829,941,58,106,116,200,2157,3623,8020728
08030829,Gropiusstadt Nord,6336,337,1455,1907,2091,481,34,31,247,20188,4274,398,4273,6335,83,111,3,6,6,312,4157,6246,8030829
08030830,Gropiusstadt Süd,4245,488,1090,1706,779,149,26,7,66,11869,2804,193,2803,4244,8,10,2,4,4,183,2789,4232,8030830
08030831,Gropiusstadt Ost,8549,133,1609,2912,2829,986,65,15,122,28845,5951,289,5904,8468,47,48,–,–,–,242,5855,8421,8030831
08040932,Goldhähnchenweg,1504,2,337,265,628,223,48,1,7,5393,1047,85,956,1321,2,3,–,–,–,83,953,1319,8040932
