id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
03010101,Bucher Forst,2374,200,425,621,587,364,99,78,637,8312,1782,635,1750,2263,405,481,67,122,134,163,1147,1724,3010101
03010102,Buch,6224,213,1073,1247,2467,1016,157,51,397,22387,3923,719,3845,5997,308,346,19,34,38,392,3466,5651,3010102
03010104,Lietzengraben,44,1,8,10,17,4,3,1,10,163,29,18,29,44,10,9,3,7,6,5,13,28,3010104
03020203,Blankenfelde,996,15,58,213,317,193,128,72,552,4323,958,782,954,992,701,713,42,84,84,39,157,207,3020203
03020209,Niederschönhausen,7184,225,1155,2361,1763,906,422,352,2848,26580,6152,2110,6052,7024,1304,1658,136,271,272,670,4124,5448,3020209
03020210,Herthaplatz,5745,219,828,1876,1479,758,364,221,1711,21104,4661,1741,4612,5683,1246,1460,80,152,160,415,2999,4277,3020210
03020307,Buchholz,8195,145,1046,2166,2056,1647,780,355,2769,32643,7381,3910,7290,8001,3278,3751,176,309,352,456,3230,4371,3020307
03030405,Karow Nord,5427,5,137,2228,1099,1313,536,109,870,22010,4031,1340,4008,5395,865,936,35,62,70,440,3011,4460,3030405
03030406,Alt-Karow,3706,34,239,560,947,973,570,383,3012,17277,3898,2893,3821,3608,2530,2912,248,439,496,115,470,582,3030406
03030711,Blankenburg,3327,335,130,456,824,782,519,281,2207,14490,3210,2477,3116,2987,2237,2506,166,288,332,74,322,418,3030711
03030715,Heinersdorf,3888,387,332,850,891,804,393,231,1822,15365,3333,2037,3215,3602,1742,2007,130,224,260,165,984,1600,3030715
03030716,Märchenland,513,1,4,49,147,177,95,40,293,2492,514,485,506,507,465,472,18,29,36,2,5,6,3030716
03040508,Rosenthal,2119,3,198,489,589,424,287,129,1009,9073,2045,1140,2034,2107,912,1103,64,116,128,164,814,1067,3040508
03040512,Wilhelmsruh,5295,51,451,1681,1817,755,322,218,1762,20733,4286,1510,4186,5188,925,1177,96,179,192,489,2829,4071,3040512
03040513,Schönholz,1520,29,138,351,377,352,140,133,1114,6580,1499,736,1488,1511,583,751,55,101,110,98,636,818,3040513
03040614,Pankow Zentrum,19932,463,3598,7138,5785,2319,426,203,1617,67981,14544,2351,14244,19470,448,586,68,136,136,1835,13522,18886,3040614
03040818,Pankow Süd,20665,719,2774,8274,6668,1987,191,52,395,69237,13582,2003,13402,20416,60,71,14,33,28,1929,13298,20328,3040818
03050919,Gustav-Adolf-Straße,2997,9,92,1652,896,260,58,30,233,10614,1887,544,1857,2966,151,173,29,47,58,364,1637,2757,3050919
03050920,Weißer See,4047,64,547,1778,1130,393,99,36,266,13837,2873,567,2842,3995,118,147,23,44,46,426,2651,3831,3050920
