district_name,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
,Anzahl,,,,,,,,,,100 m²,Anzahl,100 m²
Mitte,204494,14091,47757,73322,48778,15715,3372,1459,11422,634912,137400,5201,4277
Friedrichsh.-Kreuzberg,156037,9943,35970,56309,37728,12262,2667,1158,9089,488123,107466,3162,2498
Pankow,221718,8158,39402,77841,59701,24862,7770,3984,31458,761677,162253,3722,2729
Charlottenb.-Wilmersd.,188396,9431,35845,61805,47769,19901,7929,5716,46463,651154,148228,4698,4417
Spandau,121704,3104,18310,42598,34256,14432,5318,3686,29728,438338,90542,1439,1136
Steglitz-Zehlendorf,158903,7268,22463,45119,41661,21639,10506,10247,84364,609790,135687,1993,1818
Tempelh.-Schöneberg,184027,8953,34061,60628,48073,20005,7456,4851,38025,634037,137883,2499,2151
Neukölln,165679,8545,37397,57189,38384,16049,5334,2781,21951,542642,115670,1925,1480
