id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
8010115,483,27.0,84,192,96,53,23,8.0,67.0,1625,412,30,397,470,0.0,0.0,0.0,0.0,0.0,30,397,470,8010115
8010116,2029,428.0,455,696,330,87,25,8.0,66.0,5397,1239,110,1184,1950,2.0,3.0,3.0,5.0,6.0,105,1176,1942,8010116
8010117,8923,505.0,2856,3640,1380,433,79,30.0,229.0,25525,5406,570,5332,8830,3.0,2.0,0.0,0.0,0.0,567,5330,8827,8010117
8010118,6278,526.0,1690,2548,1134,262,85,33.0,255.0,18161,4039,404,4018,6249,7.0,6.0,3.0,5.0,6.0,394,4008,6236,8010118
8010211,4990,193.0,1355,2085,949,307,78,23.0,181.0,15138,3377,317,3225,4737,2.0,2.0,3.0,4.0,6.0,312,3219,4729,8010211
8010212,3428,448.0,1150,1189,475,127,26,13.0,121.0,9127,2330,205,2277,3354,5.0,8.0,1.0,2.0,2.0,199,2267,3347,8010212
8010213,6389,336.0,1991,2365,1238,352,86,21.0,168.0,18809,4076,471,4012,6298,1.0,1.0,0.0,0.0,0.0,470,4011,6297,8010213
8010214,4023,342.0,801,1667,914,213,60,26.0,195.0,12221,2593,381,2486,3869,23.0,23.0,2.0,6.0,4.0,356,2458,3842,8010214
8010301,14994,987.0,4144,5896,2795,895,190,87.0,690.0,44448,9922,1014,9755,14785,8.0,6.0,4.0,5.0,8.0,1002,9743,14769,8010301
8010302,2315,21.0,534,973,632,139,14,2.0,15.0,7330,1413,171,1407,2300,0.0,0.0,0.0,0.0,0.0,171,1407,2300,8010302
