id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
12103115,Breitkopfbecken,4381,226,1096,1790,984,212,23,50,358,13280,2635,460,2538,4203,4,6,1,2,2,455,2531,4197,12103115
12103116,Hausotterplatz,4727,263,933,1795,1312,330,75,19,141,15003,3039,546,2984,4642,28,32,17,21,34,501,2930,4580,12103116
12103117,Letteplatz,5578,276,1196,2400,1346,261,50,49,376,17233,3453,615,3378,5469,63,81,9,18,18,543,3280,5388,12103117
12103218,Teichstraße,7110,401,1466,2515,1972,593,114,49,364,22779,4495,938,4361,6703,244,241,31,51,62,663,4068,6397,12103218
12103219,Schäfersee,4833,149,1131,1967,1148,319,78,41,313,15280,3032,591,2985,4770,100,96,3,5,6,488,2884,4664,12103219
12103220,Humboldtstraße,2827,62,415,1095,1094,113,32,16,140,9450,1702,399,1696,2818,57,62,11,20,22,331,1614,2739,12103220
12214125,Waldidyll/Flughafensee,3469,53,361,858,976,577,388,256,1994,14460,3077,1731,3042,3429,1357,1597,145,264,290,229,1181,1782,12214125
12214126,Tegel Süd,4409,393,348,1735,1464,384,55,30,220,14620,2683,456,2651,4304,58,56,10,18,20,388,2577,4226,12214126
12214421,Reinickes Hof,1556,129,215,681,425,91,9,6,46,4857,944,258,912,1483,74,85,2,3,4,182,824,1405,12214421
12214422,Klixstraße,3946,279,713,1363,1179,369,29,14,115,12644,2456,296,2438,3924,16,16,7,10,14,273,2412,3894,12214422
12214423,Mellerbogen,3064,67,403,1029,1222,259,59,25,194,10691,2037,359,2021,3044,126,138,24,45,48,209,1838,2870,12214423
12214424,Scharnweberstraße,5483,150,800,2468,1615,332,69,49,384,18072,3488,723,3423,5397,120,126,9,21,18,594,3276,5259,12214424
12214527,Alt-Tegel,6149,253,1416,2053,1538,643,165,81,635,20236,4616,746,4448,5916,194,291,41,88,82,511,4070,5640,12214527
12214528,Tegeler Forst,33,1,1,6,11,7,2,5,38,150,35,21,34,32,17,20,2,4,4,2,10,11,12214528
12224229,Konradshöhe/Tegelort,2896,29,186,491,773,654,435,328,2562,13408,3089,1867,3065,2866,1499,1913,186,362,372,182,790,995,12224229
12224230,Heiligensee,8160,57,486,1250,2141,2007,1253,966,7597,38493,8519,5908,8435,8075,5017,5973,560,997,1120,331,1464,1938,12224230
12231101,Hermsdorf,8258,109,828,1424,1988,1657,1135,1117,8947,38031,8504,4601,8365,8089,3432,4488,520,1007,1040,649,2871,3617,12231101
12231102,Frohnau,7910,102,490,1208,1783,1650,1202,1475,11923,39223,8998,4848,8936,7842,3807,5492,417,853,834,624,2590,3201,12231102
12301203,Wittenau Süd,7485,385,1063,2431,2238,861,300,207,1641,26502,5232,1883,5196,7448,1061,1150,132,224,264,690,3822,6123,12301203
12301204,Wittenau Nord,3170,77,444,786,746,589,329,199,1516,12742,2839,994,2819,3152,590,739,82,158,164,322,1923,2398,12301204
12301205,Waidmannslust,2535,84,230,644,634,446,240,257,2074,10756,2378,1103,2310,2458,714,951,160,302,320,229,1056,1424,12301205
12301206,Lübars,2246,15,106,351,598,536,398,242,1911,10651,2340,1696,2323,2231,1485,1719,126,221,252,85,383,494,12301206
12302107,Schorfheidestraße,1292,6,77,278,346,301,173,111,897,5818,1252,736,1235,1275,605,704,68,123,136,63,408,534,12302107
12302108,Märkisches Zentrum,6963,296,1344,1703,2221,1226,165,8,61,24158,4737,198,4490,6291,17,19,2,4,4,179,4467,6270,12302108
12302109,Treuenbrietzener Straße,5103,7,1280,1109,1839,863,–,5,35,17600,3438,73,3362,4883,2,4,–,–,–,71,3358,4881,12302109
12302110,Dannenwalder Weg,4332,14,643,1353,1261,999,52,10,74,15784,3159,191,3155,4327,47,54,6,12,12,138,3089,4268,12302110
12302211,Lübarser Straße,1668,6,208,578,312,343,131,90,743,6648,1377,637,1334,1613,470,538,80,138,160,87,658,983,12302211
12302212,Rollbergesiedlung,2636,–,610,597,830,514,49,36,282,9477,1896,238,1890,2629,126,158,8,17,16,104,1715,2487,12302212
12304313,Borsigwalde,3927,96,735,1699,877,335,113,72,589,13113,2622,850,2549,3824,335,382,59,98,118,456,2070,3371,12304313
12304314,Ziekowstraße/Freie Scholle,5840,258,602,2300,1495,743,280,162,1269,21006,4031,1956,4010,5818,1197,1198,122,229,244,637,2584,4377,12304314
