id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
04010101,Jungfernheide,6025,124,1449,2147,1768,452,71,14,114,19335,3388,564,3378,6013,1,1,2,4,4,561,3373,6008,4010101
04010102,Plötzensee,287,2,11,88,81,47,22,36,329,1308,343,225,329,274,193,263,22,33,44,10,33,37,4010102
04010103,Paul-Hertz-Siedlung,3849,1,562,1571,1347,351,2,15,107,13100,2488,182,2481,3842,–,–,–,–,–,182,2481,3842,4010103
04020204,Olympiagelände,71,2,15,6,10,11,27,–,–,307,70,10,57,53,–,–,1,2,2,9,54,51,4020204
04020205,Siedlung Ruhleben,617,7,34,119,201,104,75,77,632,2838,640,272,633,607,134,211,51,102,102,87,320,371,4020205
04020206,Angerburger Allee,1714,5,125,544,758,191,48,43,344,6506,1392,116,1392,1714,51,67,5,11,10,60,1314,1653,4020206
04020207,Flatowallee,1558,106,313,461,368,127,83,100,804,5524,1313,327,1292,1517,170,281,17,40,34,140,970,1313,4020207
04020208,Kranzallee,1373,124,132,199,295,220,134,269,2263,6332,1622,593,1580,1317,474,788,21,55,42,98,737,801,4020208
04020209,Eichkamp,1170,94,79,115,145,151,189,397,3166,6232,1408,782,1278,946,669,1024,84,161,168,29,93,109,4020209
04020310,Park Ruhwald,317,107,85,61,44,11,5,4,37,758,185,62,100,108,54,56,1,2,2,7,41,52,4020310
04020311,Reichsstraße,8503,773,1217,2286,2044,1191,527,465,3817,31175,7074,932,6792,7903,189,391,44,115,88,699,6286,7626,4020311
04020312,Branitzer Platz,2889,118,468,886,731,372,150,164,1407,10803,2551,536,2452,2751,166,320,60,166,120,310,1965,2465,4020312
04020313,Königin-Elisabeth-Straße,3960,60,571,1493,1224,407,127,78,588,13962,2924,309,2848,3880,1,1,1,5,2,307,2843,3877,4020313
