id,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,,100 m²,Anzahl
01,13554,133123,199293,575,672,183,368,366,12744,130769,194404,52,1314,3948
,9837,104968,152875,300,404,92,179,184,9431,104051,151491,14,334,900
03,37724,159525,217996,19450,22781,1612,2949,3224,16633,133361,194074,29,434,1248
,18092,143811,183698,3982,6762,700,1743,1400,13347,134180,175483,63,1126,2833
05,28505,89406,120265,17657,21224,1609,2986,3218,9222,64950,98912,17,246,478
06,40828,133868,156910,22695,33270,2781,6335,5562,15259,93140,125660,93,1124,2993
,28879,135732,181528,13233,16208,1469,2743,2938,14137,116139,163770,40,642,1587
08,28366,114190,163754,15957,17946,1485,2712,2970,10890,92992,143505,34,541,1322
