id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
0701,27720,1995,6074,9007,6811,2572,774,487,3900,89812,20209,1721,19546,26724,28,32,12,20,24,1681,19494,26672,28040410
0702,28988,1854,6175,10144,7059,2439,905,412,3143,93640,21302,1932,20721,28150,12,12,8,11,16,1912,20698,28122,28080810
0703,24377,650,3437,7640,7127,3580,1333,610,4719,89569,19667,2151,19377,24059,43,60,37,91,74,2071,19227,23942,21090906
0704,34606,1834,7498,12643,8338,2840,778,675,5329,112308,23604,4553,23134,33981,1274,1647,82,148,164,3197,21338,32543,42242421
0705,27286,853,5201,9291,7747,2630,935,629,4962,93838,19465,5386,19155,26763,2546,3107,344,611,688,2496,15437,23529,42303021
0706,15649,553,2396,5004,4683,1970,636,407,3161,55916,11701,3218,11581,15430,2014,2282,170,305,340,1034,8994,13076,28242410
0707,25401,1214,3280,6899,6308,3974,2095,1631,12811,98954,21935,9878,21576,24834,7316,9069,816,1555,1632,1746,10951,15886,49494928
