district_name,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
Mitte,13077,125157,186815,566,645,183,369,366,12279,122963,182469,49,1180,3414
Friedrichsh.-Kreuzb.,9525,100115,146270,293,390,87,169,174,9133,99249,145030,12,307,773
Pankow,36372,151504,208490,18612,21537,1569,2839,3138,16170,126895,186188,21,233,552
Charlbg.-Wilmersd.,17821,139136,178372,3947,6672,690,1716,1380,13127,129734,170716,57,1014,2329
Spandau,27740,86322,116836,17098,20339,1579,2906,3158,9048,62889,96186,15,188,394
Steglitz-Zehlendorf,40223,130638,153563,22306,32433,2782,6285,5564,15050,91038,123383,85,882,2310
Tempelh.-Schöneb.,28451,133247,178370,12934,15700,1462,2721,2924,14019,114201,161063,36,626,1449
Neukölln,27770,111792,160572,15522,17303,1443,2615,2886,10774,91389,141067,31,485,1097
Treptow-Köpenick,36695,97968,134184,23079,25350,2069,3769,4138,11514,68493,106027,33,355,940
Marzahn-Hellersd.,30729,95259,133450,21647,24313,1874,3252,3748,7007,64534,102733,201,3160,5322
Lichtenberg,16428,97158,148401,6448,7800,596,1073,1192,9344,87474,138711,40,811,2050
Reinickendorf,35471,99219,128359,22505,27664,2806,5236,5612,10144,66042,99547,16,278,695
