id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
04010101,6011,124,1449,2148,1753,452,71,14,114,19278,3373,562,3363,5999,1,1,2,4,4,559,3358,5994,4010101
04010102,287,2,11,88,81,47,22,36,329,1308,343,225,329,274,193,263,22,33,44,10,33,37,4010102
04010103,3849,1,562,1571,1347,351,2,15,107,13100,2488,182,2481,3842,–,–,–,–,–,182,2481,3842,4010103
04020204,71,2,15,6,10,11,27,–,–,307,70,10,57,53,–,–,1,2,2,9,54,51,4020204
04020205,613,7,34,119,201,102,74,76,623,2813,634,269,627,603,132,207,50,99,100,87,320,371,4020205
04020206,1714,5,125,544,758,191,48,43,344,6506,1392,116,1392,1714,51,67,5,11,10,60,1314,1653,4020206
04020207,1541,106,307,461,363,121,83,100,802,5460,1293,325,1272,1500,170,280,17,40,34,138,952,1296,4020207
04020208,1362,124,127,193,296,220,134,268,2255,6300,1609,592,1567,1306,474,784,21,55,42,97,728,790,4020208
04020209,1169,93,79,115,145,151,189,397,3166,6231,1407,781,1277,945,668,1023,84,161,168,29,93,109,4020209
04020310,317,107,85,61,44,11,5,4,37,758,185,62,100,108,54,56,1,2,2,7,41,52,4020310
04020311,8461,772,1212,2273,2039,1187,519,459,3772,30992,7022,929,6766,7878,189,391,42,108,84,698,6267,7605,4020311
04020312,2874,118,468,880,724,371,149,164,1410,10749,2530,534,2431,2736,167,325,59,161,118,308,1945,2451,4020312
04020313,3960,60,571,1493,1224,407,127,78,588,13962,2924,309,2848,3880,1,1,1,5,2,307,2843,3877,4020313
04020314,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4020314
04030415,1654,191,802,319,235,55,27,25,206,4335,913,66,808,1380,1,0,–,–,–,65,808,1379,4030415
04030416,5187,329,1003,1840,1447,447,88,33,273,16679,3626,422,3544,4969,9,11,2,5,4,411,3529,4956,4030416
04030417,6005,139,1105,2182,1665,647,181,86,686,20562,4580,393,4417,5875,10,13,6,11,12,377,4393,5853,4030417
04030518,5450,140,989,2269,1396,471,142,43,395,18111,3646,399,3468,5165,1,1,1,2,2,397,3466,5162,4030518
04030519,3105,101,528,1348,848,215,59,6,47,10069,2143,217,2099,3059,7,4,1,2,2,209,2093,3050,4030519
04030620,4926,182,1195,1877,1055,462,91,64,505,15784,3404,302,3266,4698,13,15,1,1,2,288,3250,4683,4030620
