id,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
,Anzahl,,,100 m²,m²
01,196533,615855,3.1,132423,67.4
,152006,477048,3.1,104571,68.8
03,215686,744115,3.4,157428,73
,184748,641427,3.5,145184,78.6
05,119009,429838,3.6,88196,74.1
06,157517,605044,3.8,134409,85.3
,181462,627260,3.5,136040,75
08,163480,536853,3.3,114113,69.8
09,140823,501255,3.6,102782,73
10,136488,507439,3.7,97513,71.4
