id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
060101,11787,503,1652,3744,3318,1628,602,340,2672,42735,9418,1436,9146,11400,327,475,46.0,107.0,92.0,1063,8563,10981,18030306
060102,29750,1360,5580,10849,7784,2816,836,525,4073,99372,21209,3372,20940,29425,451,675,83.0,175.0,166.0,2838,20090,28808,42071449
060203,23144,1331,3941,7461,6429,2347,881,754,6108,80441,16761,5116,16508,22550,2611,3308,250.0,498.0,500.0,2255,12701,19439,36121821
060204,18265,686,2615,5028,5216,2648,1048,1024,8263,69655,14946,4991,14681,17887,2986,3874,435.0,889.0,870.0,1570,9918,14031,30102045
060305,17592,331,2306,4879,4915,2649,1331,1181,9476,69947,15033,5258,14812,17356,3031,4099,407.0,847.0,814.0,1820,9866,13511,24122010
060306,23773,1348,2642,6063,6266,3764,1946,1744,14145,94526,21394,6839,20964,23087,3942,5651,541.0,1232.0,1082.0,2356,14081,18063,36183645
060407,12487,781,1391,2038,2987,2218,1420,1652,13684,54919,13268,5236,12859,11508,3721,5766,411.0,997.0,822.0,1104,6098,6965,18122106
060408,20719,734,2050,4687,4451,3477,2399,2921,24971,93449,22381,8286,21679,19686,5511,9133,598.0,1536.0,1196.0,2177,11010,12979,42285649
