id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
12103115,4381,226,1096,1790,984,212,23,50,358,13280,2635,460,2538,4203,4,6,1,2,2,455,2531,4197,12103115
12103116,4720,263,932,1791,1310,330,75,19,141,14981,3033,545,2978,4635,28,32,17,21,34,500,2924,4573,12103116
12103117,5577,276,1196,2400,1346,261,50,48,368,17225,3451,614,3376,5468,62,79,9,18,18,543,3280,5388,12103117
12103218,7106,400,1465,2514,1971,593,115,48,356,22767,4493,936,4359,6699,243,240,31,51,62,662,4068,6394,12103218
12103219,4829,148,1130,1965,1148,319,78,41,313,15271,3029,591,2982,4766,100,96,3,5,6,488,2881,4660,12103219
12103220,2827,62,415,1095,1094,113,32,16,140,9450,1702,399,1696,2818,57,62,11,20,22,331,1614,2739,12103220
12214125,3326,47,342,835,916,567,367,252,1965,13902,2956,1715,2923,3287,1351,1580,143,258,286,221,1084,1650,12214125
12214126,4409,393,348,1735,1464,384,55,30,220,14620,2683,456,2651,4304,58,56,10,18,20,388,2577,4226,12214126
12214421,1501,74,215,681,425,91,9,6,46,4802,929,258,912,1483,74,85,2,3,4,182,824,1405,12214421
12214422,3940,279,711,1360,1178,369,29,14,115,12627,2452,296,2434,3918,16,16,7,10,14,273,2409,3888,12214422
12214423,3060,67,405,1025,1220,259,59,25,194,10675,2032,359,2016,3040,126,138,25,46,50,208,1832,2864,12214423
12214424,5479,150,798,2468,1614,331,69,49,384,18059,3485,723,3422,5394,120,126,9,21,18,594,3275,5256,12214424
12214527,6134,253,1416,2048,1537,643,155,82,642,20164,4601,731,4433,5901,179,276,41,88,82,511,4069,5640,12214527
12214528,33,1,1,6,11,7,2,5,38,150,35,21,34,32,17,20,2,4,4,2,10,11,12214528
12224229,2867,28,185,490,768,650,423,323,2519,13247,3049,1843,3025,2837,1480,1883,181,352,362,182,790,995,12224229
12224230,8064,53,478,1234,2132,1979,1235,953,7490,38034,8397,5844,8313,7979,4962,5885,558,991,1116,324,1437,1901,12224230
12231101,8220,109,822,1419,1983,1651,1126,1110,8884,37837,8448,4577,8310,8052,3412,4451,519,1005,1038,646,2855,3602,12231101
12231102,7872,101,484,1202,1775,1649,1198,1463,11813,39021,8932,4817,8871,7805,3781,5438,413,847,826,623,2585,3198,12231102
12301203,7463,385,1057,2420,2240,859,296,206,1635,26425,5210,1873,5174,7426,1052,1136,132,224,264,689,3815,6110,12301203
12301204,3058,68,400,746,726,589,329,200,1524,12453,2764,983,2743,3038,589,738,83,159,166,311,1846,2283,12301204
12301205,2517,72,231,643,632,444,238,257,2072,10711,2367,1098,2301,2452,710,945,159,300,318,229,1056,1424,12301205
12301206,2226,16,106,349,596,531,391,237,1874,10534,2310,1680,2293,2211,1472,1695,124,218,248,84,379,491,12301206
12302107,1285,6,78,278,345,297,173,108,874,5773,1241,732,1224,1268,603,698,67,122,134,62,405,531,12302107
12302108,6849,269,1280,1703,2209,1216,164,8,61,23899,4678,197,4488,6290,16,17,2,4,4,179,4467,6270,12302108
12302109,5103,7,1280,1109,1839,863,–,5,35,17600,3438,73,3362,4883,2,4,–,–,–,71,3358,4881,12302109
12302110,4275,1,628,1338,1247,999,52,10,74,15640,3123,190,3119,4270,47,54,6,12,12,137,3054,4211,12302110
12302211,1664,5,208,576,312,344,130,89,729,6626,1371,636,1330,1611,470,535,79,136,158,87,658,983,12302211
12302212,2636,–,610,597,830,514,49,36,282,9477,1896,238,1890,2629,126,158,8,17,16,104,1715,2487,12302212
12304313,3906,78,735,1697,877,334,113,72,588,13083,2616,850,2546,3821,335,381,59,98,118,456,2068,3368,12304313
12304314,5822,258,600,2296,1492,744,271,161,1260,20920,4009,1948,3988,5800,1191,1186,120,224,240,637,2578,4369,12304314
