year,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
2011,1871782,73189,334918,624927,510411,212736,70706,44895,358321,6505687,1359469,28228,23499
2012,1876984,73822,335402,625704,511274,214084,71407,45291,361584,6527280,1365500,28284,23546
2013,1883161,74083,336355,626996,512611,215440,71998,45678,364679,6552092,1372228,28566,23731
2014,1891798,75099,337619,628794,514337,217026,72791,46132,368553,6584496,1381244,28814,23871
2015,1902675,76053,340452,631333,516408,218403,73479,46547,371907,6621384,1391487,28993,23972
2016,1916517,78812,343578,634307,518819,219877,74202,46922,374952,6663714,1403107,29286,24124
