id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
01,191835,10560,43784,70156,47290,15350,3283,1412,11039,605243,129342,5020,4185
02,149321,8494,34113,54657,36531,11839,2567,1120,8797,470209,102540,3051,2425
03,211981,6373,37241,75442,57926,23878,7380,3741,29504,732059,154163,3491,2659
04,182968,8526,34430,60167,46752,19626,7836,5631,45741,635782,143476,4596,4341
05,118272,2891,17205,41648,33753,14142,5077,3556,28640,427069,87460,1436,1138
06,155591,6779,21946,44364,40894,21250,10309,10049,82632,598075,132476,2028,1838
07,180862,8174,33304,59900,47705,19686,7314,4779,37445,625061,135385,2492,2137
08,162499,7603,36697,56688,37871,15738,5209,2693,21220,533709,113258,1927,1466
09,135838,3783,20485,45139,40298,16786,6005,3342,26451,487773,99197,1654,1229
10,134050,4904,17900,35225,41825,23414,7861,2921,22574,500489,95752,600,493
11,149404,4312,23857,48224,49504,18648,3412,1447,11432,519858,97966,1003,808
12,130054,3654,19490,39723,36059,18046,7226,5856,46432,486057,100473,1695,1253
