id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
050101,12310,287.0,1936,4661,3428,1154,464,380,3451,43859,8843,2828,8703,12128,1570,1793,183.0,340.0,366.0,1075,6571,10192,15030306
050102,20265,394.0,2673,7366,6104,2465,787,476,3815,73116,14393,4160,14328,20188,2542,2932,229.0,403.0,458.0,1389,10993,17188,30061239
050103,18240,763.0,3499,7559,4743,1296,236,144,1156,58462,11968,1890,11477,17584,147,178,45.0,75.0,90.0,1698,11224,17347,30061899
050204,11528,377.0,1241,3434,3426,1683,856,511,3996,44412,9071,4438,9004,11445,3381,3747,346.0,593.0,692.0,711,4667,7372,30122505
050205,13394,59.0,2162,3845,4561,1786,538,443,3519,49839,10199,2889,10148,13335,1962,2409,238.0,427.0,476.0,689,7311,10897,20082090
050206,20285,410.0,3255,8186,5810,1798,461,365,2911,69385,14334,2844,14068,19868,856,1103,127.0,259.0,254.0,1861,12708,18758,25103135
050307,7768,205.0,1030,3059,2534,702,183,55,428,26614,5069,1425,5002,7640,679,727,32.0,55.0,64.0,714,4219,6897,10061461
050308,6217,338.0,1013,2710,1229,691,166,70,532,20393,4239,801,4172,6124,211,228,9.0,15.0,18.0,581,3930,5895,10061665
050409,8265,58.0,396,828,1918,2567,1386,1112,8832,40989,9348,6450,9231,8130,5750,7225,370.0,740.0,740.0,330,1268,1640,25204680
