id,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
,18835,148003,192720,3815,6800,629,1611,1258,14262,137994,183431,129,1599,4216
05,28816,93707,126980,17751,22314,1471,2718,2942,9559,68136,105066,35,539,1221
06,40977,136899,161066,22738,34579,2554,5876,5108,15593,95807,130670,92,636,2550
,29068,136292,185723,13285,16711,1518,2779,3036,14207,115865,167268,58,937,2134
08,28386,116131,166644,15602,18328,1426,2602,2852,11311,94718,147178,47,482,1012
09,39289,111303,153637,24728,28309,1905,3395,3810,12623,79218,123746,33,382,1353
,33025,103704,143199,23576,27490,1819,3147,3638,7615,72695,114925,15,372,1060
11,18265,106891,165075,7663,9576,609,1110,1218,9940,95072,152292,53,1134,3902
12,35424,102245,132139,22360,28882,2538,4793,5076,10500,68098,103224,26,472,1479
,335971,1461308,2015027,172743,218474,16387,31651,32774,146172,1201840,1782937,669,9343,26573
