id,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
,196816,648412,3.3,151407,76.9
05,127822,438129,3.4,94294,73.8
06,162269,600665,3.7,137900,85
,187628,623378,3.3,137759,73.4
08,168189,544227,3.2,117206,69.7
09,156045,539645,3.5,112696,72.2
10,144905,520227,3.6,104796,72.3
11,167725,553103,3.3,108623,64.8
12,133303,481095,3.6,103146,77.4
,2043583,6835047,3.3,1482476,72.5
,,,,,
,,,,,
