id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
091002,7182,232,1254,3573,1764,263,79,17,139,22443,4166,766,4089,6989,60.0,63.0,6.0,10.0,12.0,700,4015,6917,18200405
091003,10829,129,1891,5451,2351,654,222,131,1014,35284,7303,2044,7269,10788,929.0,1117.0,63.0,112.0,126.0,1052,6039,9733,27300915
091004,11107,328,1080,3973,4016,1231,304,175,1415,39865,7828,2630,7758,10946,1476.0,1745.0,104.0,182.0,208.0,1050,5831,9262,27301224
092005,15535,2727,2467,5835,3425,966,97,18,150,44428,8948,1409,8535,14519,184.0,162.0,23.0,33.0,46.0,1202,8341,14289,27601533
092006,7230,475,1435,2313,2154,722,102,29,219,23341,4634,1093,4422,6722,521.0,469.0,20.0,33.0,40.0,552,3919,6161,18401227
092007,12284,853,2191,4644,3272,1001,227,96,744,39366,8026,2241,7861,11754,1062.0,1098.0,82.0,137.0,164.0,1097,6627,10528,27602148
092008,7321,446,1262,2333,2616,582,47,35,276,23901,4639,858,4410,6860,221.0,278.0,38.0,68.0,76.0,599,4064,6563,18401637
093009,13871,363,1614,4035,4348,2285,855,371,2892,52535,11653,5559,11601,13810,4498.0,5088.0,194.0,342.0,388.0,867,6170,8924,37203686
093010,6946,244,985,1475,1886,1393,627,336,2580,27490,6112,4194,6081,6909,3519.0,3837.0,251.0,410.0,502.0,424,1833,2888,18602049
093011,4443,107,675,1438,1352,606,158,107,816,15973,3457,1082,3427,4396,625.0,785.0,75.0,142.0,150.0,382,2499,3621,9301126
093012,2193,21,151,433,676,486,257,169,1318,9616,2399,1613,2380,2169,1377.0,1705.0,138.0,262.0,276.0,98,414,516,18602455
094013,6997,115,515,2155,2800,895,318,199,1553,26746,5475,2522,5433,6917,1863.0,2144.0,108.0,210.0,216.0,551,3078,4838,18802659
094014,6135,412,1171,2142,1608,653,124,25,180,19801,4224,610,4221,6132,354.0,372.0,13.0,21.0,26.0,243,3829,5752,28204296
094015,3944,100,627,1402,1338,403,44,30,240,13431,2641,481,2594,3892,81.0,111.0,21.0,38.0,42.0,379,2445,3769,9401534
094016,3226,20,231,692,1044,765,299,175,1365,13718,3296,2616,3287,3217,2367.0,2610.0,140.0,246.0,280.0,109,431,570,9401635
